Char	Script
ញ	Others
হ	Others
ူ	Others
ই	Others
ཚ	Others
ը	Others
ข	Others
է	Others
ോ	Others
χ	Others
ខ	Others
し	Others
ె	Others
ื	Others
ट	Others
թ	Others
ڵ	Others
ဒ	Others
એ	Others
ใ	Others
ۈ	Others
ះ	Others
આ	Others
জ	Others
થ	Others
い	Others
კ	Others
ண	Others
ཞ	Others
ྒ	Others
ղ	Others
ছ	Others
અ	Others
ँ	Others
গ	Others
î	Others
ಟ	Others
બ	Others
எ	Others
आ	Others
ೂ	Others
פ	Others
ံ	Others
ូ	Others
ெ	Others
শ	Others
θ	Others
ဖ	Others
බ	Others
พ	Others
բ	Others
។	Others
«	Others
श	Others
գ	Others
ො	Others
に	Others
ז	Others
ू	Others
ៅ	Others
ų	Others
た	Others
ã	Others
â	Others
ហ	Others
ุ	Others
»	Others
は	Others
ג	Others
ò	Others
պ	Others
在	Others
ួ	Others
ગ	Others
ქ	Others
ೊ	Others
ύ	Others
ဆ	Others
と	Others
દ	Others
ោ	Others
!	Others
શ	Others
る	Others
에	Others
ڕ	Others
ż	Others
ۋ	Others
ế	Others
খ	Others
็	Others
চ	Others
ટ	Others
ཀ	Others
人	Others
ී	Others
ู	Others
が	Others
て	Others
ړ	Others
ई	Others
を	Others
ř	Others
ס	Others
ზ	Others
ま	Others
ध	Others
ạ	Others
φ	Others
그	Others
な	Others
ำ	Others
წ	Others
ث	Others
ê	Others
չ	Others
지	Others
േ	Others
എ	Others
ည	Others
ভ	Others
ཐ	Others
ங	Others
ோ	Others
ထ	Others
ض	Others
ख	Others
ś	Others
ť	Others
ộ	Others
ן	Others
ಇ	Others
ё	Others
을	Others
۔	Others
থ	Others
ծ	Others
ώ	Others
有	Others
औ	Others
ő	Others
շ	Others
इ	Others
ấ	Others
가	Others
ദ	Others
ધ	Others
们	Others
צ	Others
ყ	Others
එ	Others
ொ	Others
ဘ	Others
ూ	Others
하	Others
၊	Others
ખ	Others
ચ	Others
ष	Others
의	Others
ช	Others
고	Others
ผ	Others
ೋ	Others
;	Yi
ჩ	Others
ষ	Others
他	Others
؟	Others
ì	Others
ថ	Others
ಚ	Others
은	Others
ఇ	Others
ფ	Others
ड	Others
ഞ	Others
ဟ	Others
ழ	Others
ึ	Others
ཆ	Others
ט	Others
ೀ	Others
խ	Others
れ	Others
不	Others
了	Others
బ	Others
ć	Others
և	Others
們	Others
ീ	Others
ږ	Others
ځ	Others
జ	Others
ྐ	Others
զ	Others
こ	Others
も	Others
ț	Others
ధ	Others
ྟ	Others
ડ	Others
